	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée	Intensité normalisée.1
242	302.96	2	578	0.02	
243	303.0258	10	314	0.1	
244	303.348	2	542	0.02	
245	303.4555	3	488	0.03	
246	303.6101	2500	10	25.0	
247	303.9488	10	315	0.1	
248	304.0467	1	614	0.01	
249	304.4028	20	254	0.2	
250	304.5025	1	615	0.01	
251	304.7795	1	616	0.01	
252	305.1901	2	543	0.02	
253	305.2554	15	274	0.15	
254	305.33799999999997	10	316	0.1	
255	305.736	8	355	0.08	
256	306.084	2	544	0.02	
257	306.3411	2500	11	25.0	
258	306.6011	3	489	0.03	
259	306.8906	15	286	0.15	
260	307.097	5	409	0.05	
261	307.19599999999997	2	545	0.02	
262	307.3798	1400	45	14.0	
263	308.496	2	510	0.02	
264	308.647	2	546	0.02	
265	308.8132	125	164	1.25	
266	309.3989	1500	36	15.0	
267	309.9928	1250	55	12.5	
268	310.6912	1	617	0.01	
269	310.8452	600	81	6.0	
270	310.8605	2000	18	20.0	
271	311.3482	50	206	0.5	
272	311.6348	400	108	4.0	
273	311.8355	5	445	0.05	
274	312.0435	50	196	0.5	
275	312.3	1	618	0.01	
276	312.4373	1	619	0.01	
277	312.6109	1400	43	14.0	
278	312.8701	650	70	6.5	
279	313.133	5	410	0.05	
280	313.501	1	620	0.01	
281	313.772	5	411	0.05	
282	313.91700000000003	0	655	0.0	
283	314.0312	400	106	4.0	
284	314.2444	750	64	7.5	
285	314.2797	8	356	0.08	
286	314.6821	450	96	4.5	
287	314.8333	3	503	0.03	
288	314.857	2	547	0.02	
289	314.9508	30	232	0.3	
290	315.16200000000003	8	357	0.08	
291	315.22900000000004	1	621	0.01	
292	315.6629	450	103	4.5	
293	315.802	1	622	0.01	
294	316.0047	25	239	0.25	
295	316.9681	500	87	5.0	
296	317.1663	5	412	0.05	
297	317.567	60	186	0.6	
298	317.9343	2	548	0.02	
299	319.222	2	549	0.02	
300	319.4099	1500	37	15.0	
301	320.8231	1400	46	14.0	
302	320.9498	4	470	0.04	
303	321.143	30	224	0.3	
304	321.764	10	317	0.1	
305	321.8204	5	413	0.05	
306	322.065	8	358	0.08	
307	322.135	8	359	0.08	
308	322.3435	400	107	4.0	
309	322.4664	450	97	4.5	
310	322.5088	2	550	0.02	
311	322.5698	5	414	0.05	
312	322.6541	50	197	0.5	
313	322.6602	150	144	1.5	
314	323.1178	650	71	6.5	
315	323.3899	450	98	4.5	
316	323.5713	650	72	6.5	
317	323.916	150	145	1.5	
318	324.3164	1500	32	15.0	
319	324.754	10000	1	100.0	
320	325.222	650	76	6.5	
321	326.6023	650	73	6.5	
322	326.8278	650	74	6.5	
323	327.3957	10000	2	100.0	
324	327.731	650	77	6.5	
325	327.9815	2000	19	20.0	
326	328.2716	1400	44	14.0	
327	328.5017	1	642	0.01	
328	328.6193	2	579	0.02	
329	329.0541	1500	33	15.0	
330	329.2393	125	156	1.25	
331	329.2827	650	78	6.5	
332	329.2965	450	99	4.5	
333	329.3815	2	551	0.02	
334	329.4168	5	415	0.05	
335	330.2787	4	476	0.04	
336	330.55300000000005	4	477	0.04	
337	330.7948	2500	9	25.0	
338	330.9558	4	478	0.04	
