	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée	Unnamed: 4	Unnamed: 5	Unnamed: 6	Unnamed: 7	Unnamed: 8
150	347.939	1200.0	16.0	21.05263157894737	 	 	 		 
151	348.115	1300.0	13.0	22.80701754385965	 	 	 		 
152	348.35400000000004	760.0	42.0	13.333333333333334	 	 	 		 
153	349.621	4100.0	3.0	71.9298245614035	 	 	 		 
154	350.548	350.0	92.0	6.140350877192983	 	 	 		 
155	350.56699999999995	820.0	31.0	14.385964912280702	 	 	 		 
156	351.046	200.0	130.0	3.508771929824561	 	 	 		 
157	352.58099999999996	440.0	72.0	7.719298245614035	 	 	 		 
158	354.26199999999994	630.0	53.0	11.052631578947368	 	 	 		 
159	355.195	1800.0	8.0	31.57894736842105	 	 	 		 
160	355.66	2100.0	5.0	36.8421052631579	 	 	 		 
161	357.24699999999996	2100.0	6.0	36.8421052631579	 	 	 		 
162	357.30800000000005	210.0	125.0	3.6842105263157894	 	 	 		 
163	357.685	1300.0	14.0	22.80701754385965	 	 	 		 
164	358.798	440.0	73.0	7.719298245614035	 	 	 		 
165	361.189	690.0	48.0	12.105263157894736	 	 	 		 
166	361.31	1100.0	19.0	19.29824561403509	 	 	 		 
167	361.477	1100.0	20.0	19.29824561403509	 	 	 		 
168	367.12699999999995	390.0	79.0	6.842105263157895	 	 	 		 
169	367.472	800.0	33.0	14.035087719298245	 	 	 		 
170	369.746	390.0	80.0	6.842105263157895	 	 	 		 
171	369.81699999999995	960.0	23.0	16.842105263157894	 	 	 		 
172	370.926	720.0	44.0	12.631578947368421	 	 	 		 
173	373.126	270.0	111.0	4.7368421052631575	 	 	 		 
174	374.598	560.0	60.0	9.824561403508772	 	 	 		 
175	375.16	880.0	29.0	15.43859649122807	 	 	 		 
176	376.68199999999996	340.0	94.0	5.964912280701754	 	 	 		 
177	381.75800000000004	210.0	126.0	3.6842105263157894	 	 	 		 
178	383.676	1300.0	15.0	22.80701754385965	 	 	 		 
179	384.30199999999996	550.0	61.0	9.649122807017545	 	 	 		 
180	391.594	310.0	103.0	5.43859649122807	 	 	 		 
181	393.412	200.0	131.0	3.508771929824561	 	 	 		 
182	393.47900000000004	200.0	132.0	3.508771929824561	 	 	 		 
183	395.82199999999995	940.0	24.0	16.49122807017544	 	 	 		 
184	399.11300000000006	770.0	34.0	13.508771929824562	 	 	 		 
185	399.897	770.0	35.0	13.508771929824562	 	 	 		 
186	402.968	400.0	75.0	7.017543859649122	 	 	 		 
187	404.561	400.0	76.0	7.017543859649122	 	 	 		 
188	404.86699999999996	610.0	54.0	10.701754385964913	 	 	 		 
189	405.033	200.0	133.0	3.508771929824561	 	 	 		 
190	414.92	1200.0	17.0	21.05263157894737	 	 	 		 
191	415.624	290.0	106.0	5.087719298245614	 	 	 		 
192	416.121	400.0	77.0	7.017543859649122	 	 	 		 
193	420.898	610.0	55.0	10.701754385964913	 	 	 		 
194	421.18800000000005	200.0	134.0	3.508771929824561	 	 	 		 
195	435.974	290.0	107.0	5.087719298245614	 	 	 		 
