	Longueur d'onde (nm)	Intensité	Numéro	Intensité normalisée
0	350.255262	22500.1542765003	100.0	0.08465756918347794
1	361.547453	17887.3337237811	107.0	0.06730168040716618
2	366.53244	424799.690115415	25.0	1.598322780952033
3	377.3423	68720.5550358389	70.0	0.25856334453447266
4	427.39694	503621.681295003	21.0	1.8948931106246065
5	428.29673	26984.1345164976	94.0	0.10152869205312803
6	428.64868	79936.085984989	64.0	0.3007621479555128
7	430.04865	42868.8759172897	83.0	0.1612955530965528
8	431.85519	132392.748635736	52.0	0.4981320634199642
9	431.95796	451833.164564762	22.0	1.7000371161224204
10	435.13597	56091.8542347492	78.0	0.21104744314875176
11	436.26416	67534.8026655622	71.0	0.2541019123110494
12	437.61216	175958.237003925	44.0	0.6620486437339914
13	439.99663	162453.516971307	47.0	0.6112366912284513
14	441.03682	21753.4319168012	102.0	0.08184800178895123
15	442.51901	47288.5655734871	81.0	0.17792478053388713
16	445.39175	96412.0702641448	55.0	0.36275357974028544
17	446.36898	172757.212702779	45.0	0.6500046847058842
18	450.23543	193081.304876969	41.0	0.7264747487856179
19	556.22253	41873.030573577	84.0	0.15754865229554574
20	557.02893	224228.549003577	36.0	0.8436672774287207
21	558.03872	22136.8455044342	101.0	0.08329060800053738
22	564.95617	15718.4558169757	110.0	0.05914120607487844
23	578.38937	35613.4626074761	87.0	0.1339968223108807
24	578.82396	25055.9585687538	96.0	0.09427386674446227
25	580.55412	78078.328097374	67.0	0.2937722729100258
26	581.08125	10501.3982023196	115.0	0.03951185551490371
27	582.70903	78257.3932482936	66.0	0.29444601141937277
28	586.67501	23115.5227623919	99.0	0.08697291331523398
29	587.09157	256060.756211817	33.0	0.9634370021549612
30	601.21557	248134.068217464	34.0	0.9336125783296254
31	605.61265	408027.278890139	26.0	1.5352160330502849
32	607.52552	199511.967261193	40.0	0.7506703271357904
33	608.28613	149247.336779385	48.0	0.561548004675098
34	622.27334	89096.8047589659	57.0	0.3352296531045024
35	623.63519	139681.355781885	50.0	0.5255556871046582
36	624.14046	28007.3256067068	93.0	0.10537848212313536
37	634.66821	82767.7416948601	60.0	0.3114163455319523
38	635.19152	26944.0477479554	95.0	0.10137786427037156
39	636.83212	8322.70375885363	119.0	0.03131444614113705
40	637.35901	87937.445187963	58.0	0.3308675246548672
41	641.56793	82266.8662441628	61.0	0.3095317852041149
42	642.10269	510707.799014581	20.0	1.9215548611937565
43	644.87995	29811.9790138712	91.0	0.11216854981741708
